Code,Building Name,Capacity,Num. Rooms
AERL (x?),Aquatic Ecosystems Research Laboratory,144,1
ALRD (x?),Allard Hall,228,5
ANGU (x?),Henry Angus,1545,28
ANSO (x?) ,Anthropology and Sociology,186,4
AUDX (x?),Auditorium Annex,41,2
BIOL (x?),Biological Sciences,394,4
BUCH (x?),Buchanan,3130,60
CEME (x?),Civil and Mechanical Engineering,289,6
CHBE (x?),Chemical and Biological Engineering,354,3
CHEM (x??),Chemistry,893,6
CIRS (x??),Centre for Interactive Research on Sustainability,416,1
DMP (x??),Dempster Hugh Pavilion,440,5
EOS (x??),Earth and Ocean Sciences,50,1
ESB (x??),Earth Sciences Building,580,3
FNH (x??),"Food, Nutrition and Health",263,5
FORW (x??),Frank Forward,147,3
FRDM (x??),Friedman Building,160,1
FSC (x??),Forest Sciences Centre,633,9
GEOG (x??),Geography,617,8
HEBB (x??),Hebb,571,4
HENN (x??),Hennings,581,6
IBLC (x??),Irving K Barber Learning Centre,555,17
IONA (x??),Iona Building,150,2
IRC (x??),P.A. Woodward Instructional Resources Centre,1296,16
LASR (x??),Frederic Lasserre,264,5
LIFE (x??),UBC Life Building,624,5
LSK (x??),Leonard S. Klinck,505,4
MATH (x??),Mathematics,495,7
MATX (x??),Mathematics Annex,106,1
MCLD (x??),Macleod,519,8
MCML (x??),MacMillan,482,7
ORCH (x??),Orchard Commons,662,21
OSB1 (x??),Robert F. Osborne Centre,68,1
PCN (x??),Ponderosa Commons North: Oak/Cedar House,240,8
PHRM (x??),Pharmaceutical Sciences Building,479,3
SCRF (x??),Neville Scarfe,1019,19
SOWK (x??),Jack Bell Building,190,6
SPPH (x??),School of Population and Public Health,166,6
SWNG (x??),West Mall Swing Space,1605,26
UCEN (x??),The Leon and Thea Koerner University Centre,163,4
WESB (x??),Westbrook,427,2
Total,,21677,333
