Code,Building Name,Capacity,Num. Rooms
AERL ,Aquatic Ecosystems Research Laboratory,144,1
ALRD,Allard Hall,228,5
ANGU,Henry Angus,"1,545",28
ANSO ,Anthropology and Sociology,186,4
AUDX,Auditorium Annex,41,2
BIOL,Biological Sciences,394,4
BUCH,Buchanan,"3,130",60
CEME,Civil and Mechanical Engineering,289,6
CHBE ,Chemical and Biological Engineering,354,3
CHEM ,Chemistry,893,6
CIRS ,Centre for Interactive Research on Sustainability,416,1
DMP ,Dempster Hugh Pavilion,440,5
EOS ,Earth and Ocean Sciences,50,1
ESB ,Earth Sciences Building,580,3
FNH,"Food, Nutrition and Health",263,5
FORW ,Frank Forward,147,3
FRDM ,Friedman Building,160,1
FSC ,Forest Sciences Centre,633,9
GEOG ,Geography,617,8
HEBB ,Hebb,571,4
HENN ,Hennings,581,6
IBLC ,Irving K Barber Learning Centre,555,17
IONA ,Iona Building,150,2
IRC,P.A. Woodward Instructional Resources Centre,"1,296",16
LASR ,Frederic Lasserre,264,5
LIFE ,UBC Life Building,624,5
LSK ,Leonard S. Klinck,505,4
MATH ,Mathematics,495,7
MATX ,Mathematics Annex,106,1
MCLD ,Macleod,519,8
MCML ,MacMillan,482,7
ORCH ,Orchard Commons,662,21
OSB1 ,Robert F. Osborne Centre,68,1
PCN ,Ponderosa Commons North: Oak/Cedar House,240,8
PHR,Pharmaceutical Sciences Building,479,3
SCRF,Neville Scarfe,"1,019",19
SOWK,Jack Bell Building,190,6
SPPH,School of Population and Public Health,166,6
SWNG ,West Mall Swing Space,"1,605",26
UCEN,The Leon and Thea Koerner University Centre,163,4
WESB ,Westbrook,427,2
Total,,"21,677",333
